age,marital,duration,target,education_secondary,education_tertiary
0.2564102564102564,married,-1.114730993407334,no,False,False
0.3333333333333333,married,0.3656070626576961,no,True,False
0.38461538461538464,single,0.09263692465988914,yes,False,True
0.5042735042735043,married,0.1451311819671597,no,False,True
1.0,married,-1.8916460015549386,no,True,False
0.38461538461538464,single,-0.46380220279717893,yes,False,True
0.41025641025641024,married,1.635968089493644,no,False,True
0.5042735042735043,married,-0.35881368818263776,yes,True,False
0.5384615384615384,married,-1.3457057255593246,no,False,True
0.5897435897435898,,1.3420002485729288,no,False,False
0.5897435897435898,married,0.09263692465988914,no,True,False
0.41025641025641024,married,1.4994830204947405,no,False,True
0.0,single,0.7960599725773148,yes,True,False
0.28205128205128205,married,-1.0097424787927929,no,True,False
0.5128205128205128,married,0.040142667352618566,no,False,True
0.9230769230769231,married,0.5650852404253243,yes,True,False
0.28205128205128205,married,-0.39031024256700014,no,True,False
