age,marital,education,duration,target
0.2564102564102564,married,primary,-1.114730993407334,no
0.3333333333333333,married,secondary,0.3656070626576961,no
0.38461538461538464,single,tertiary,0.09263692465988914,yes
0.5042735042735043,married,tertiary,0.1451311819671597,no
1.0,married,secondary,-1.8916460015549386,no
0.38461538461538464,single,tertiary,-0.46380220279717893,yes
0.41025641025641024,married,tertiary,1.635968089493644,no
0.5042735042735043,married,secondary,-0.35881368818263776,yes
0.5384615384615384,married,tertiary,-1.3457057255593246,no
0.5897435897435898,,primary,1.3420002485729288,no
0.5897435897435898,married,secondary,0.09263692465988914,no
0.41025641025641024,married,tertiary,1.4994830204947405,no
0.0,single,secondary,0.7960599725773148,yes
0.28205128205128205,married,secondary,-1.0097424787927929,no
0.5128205128205128,married,tertiary,0.040142667352618566,no
0.9230769230769231,married,secondary,0.5650852404253243,yes
0.28205128205128205,married,secondary,-0.39031024256700014,no
